position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
644|5622|RODGER RINEY|3.6|0.0|Finance and Investments |discount brokerage|72|Male|https://specials-images.forbesimg.com/imageserve/59dbdb144bbe6f37dda03642/416x416.jpg?background=000000&cropX1=1016&cropX2=2276&cropY1=43&cropY2=1304
645|5355|STEVEN SPIELBERG|3.6|0.0|Media & Entertainment |Movies|71|Male|https://specials-images.forbesimg.com/imageserve/5a8ddae031358e4955adfc22/416x416.jpg?background=000000&cropX1=734&cropX2=2134&cropY1=46&cropY2=1446
646|1527|GABRIELE VOLKMANN|3.6|0.0|Automotive |auto parts|999|Unknown|https://specials-images.forbesimg.com/imageserve/5a8ddae031358e4955adfc22/416x416.jpg?background=000000&cropX1=734&cropX2=2134&cropY1=46&cropY2=1446
647|6609|ARNE WILHELMSEN|3.6|0.001|Logistics |cruise ships|88|Male|https://specials-images.forbesimg.com/imageserve/58a386e64bbe6f0e5586cff9/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=5&cropY2=748
648|2550|XU JINGREN|3.6|0.0|Healthcare |pharmaceuticals|73|Male|https://specials-images.forbesimg.com/imageserve/580951f5a7ea435b91b04853/416x416.jpg?background=000000&cropX1=2&cropX2=743&cropY1=37&cropY2=778
649|5306|ZHANG LI|3.6|0.001|Real Estate |real estate|65|Unknown|https://specials-images.forbesimg.com/imageserve/5a7d22214bbe6f2652f51261/416x416.jpg?background=000000&cropX1=518&cropX2=1853&cropY1=674&cropY2=2009
650|2619|ZHANG XIN|3.6|0.0|Real Estate |real estate|52|Female|https://specials-images.forbesimg.com/imageserve/5a7d22214bbe6f2652f51261/416x416.jpg?background=000000&cropX1=518&cropX2=1853&cropY1=674&cropY2=2009
651|5384|ANITA ZUCKER|3.6|-0.254|Manufacturing |chemicals|66|Unknown|https://specials-images.forbesimg.com/imageserve/57e124e131358e16c589bb77/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=15&cropY2=759
652|3904|CARLO BENETTON|3.5|0.001|Fashion & Retail |fashion retail, investments|74|Male|https://specials-images.forbesimg.com/imageserve/48e7014b81dcbb5af16440c90335228e/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=0&cropY2=741
653|7467|GILBERTO BENETTON|3.5|0.001|Fashion & Retail |fashion retail, investments|77|Unknown|https://specials-images.forbesimg.com/imageserve/589f893c4bbe6f0e55868e24/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743
654|7436|GIULIANA BENETTON|3.5|0.001|Fashion & Retail |fashion retail, investments|80|Unknown|https://specials-images.forbesimg.com/imageserve/5a7f90bf31358e4955ad1df2/416x416.jpg?background=000000&cropX1=207&cropX2=2084&cropY1=218&cropY2=2096
655|9826|LUCIANO BENETTON|3.5|0.0|Fashion & Retail |fashion retail, investments|83|Male|https://specials-images.forbesimg.com/imageserve/5a7f9684a7ea431690132eb0/416x416.jpg?background=000000&cropX1=339&cropX2=1832&cropY1=240&cropY2=1734
656|4967|CHEN BANG|3.5|0.001|Healthcare |hospitals|52|Unknown|https://specials-images.forbesimg.com/imageserve/2b6a0c7bcd0e173f3b342365e3667d14/416x416.jpg?background=000000&cropX1=27&cropX2=705&cropY1=63&cropY2=741
657|7659|KULDIP SINGH & GURBACHAN SINGH DHINGRA|3.5|0.0|Manufacturing |paints|999|Unknown|https://specials-images.forbesimg.com/imageserve/9d847c68baaab474610d6f09e72d3aff/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=300&cropY2=1044
658|9439|ABILIO DOS SANTOS DINIZ|3.5|0.0|Fashion & Retail |retail|81|Male|https://specials-images.forbesimg.com/imageserve/5a7b795531358e4955acdd22/416x416.jpg?background=000000&cropX1=0&cropX2=3292&cropY1=330&cropY2=3620
659|9017|BERNARD ECCLESTONE|3.5|0.0|Sports |Formula One|87|Unknown|https://specials-images.forbesimg.com/imageserve/5a81552831358e4955ad3343/416x416.jpg?background=000000&cropX1=0&cropX2=4194&cropY1=0&cropY2=4192
660|4151|JUDY FAULKNER|3.5|0.0|Technology |health IT|74|Female|https://specials-images.forbesimg.com/imageserve/59231261a7ea434078d441dc/416x416.jpg?background=000000&cropX1=187&cropX2=1015&cropY1=89&cropY2=916
661|1901|GAO TIANGUO|3.5|0.0|Real Estate |real estate, finance|66|Male|https://specials-images.forbesimg.com/imageserve/59231261a7ea434078d441dc/416x416.jpg?background=000000&cropX1=187&cropX2=1015&cropY1=89&cropY2=916
662|8682|JOSHUA HARRIS|3.5|0.001|Finance and Investments |private equity|53|Unknown|https://specials-images.forbesimg.com/imageserve/59dbe59ba7ea436b47b39e9e/416x416.jpg?background=000000&cropX1=871&cropX2=1714&cropY1=764&cropY2=1607
663|9388|ARTHUR IRVING|3.5|0.0|Energy |oil|88|Male|https://specials-images.forbesimg.com/imageserve/5a7ba14f31358e4955ace08e/416x416.jpg?background=000000&cropX1=2&cropX2=542&cropY1=70&cropY2=610
664|2662|BABA KALYANI|3.5|0.0|Construction & Engineering |engineering|69|Male|https://specials-images.forbesimg.com/imageserve/57d88af331358e16c5898fd0/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=250&cropY2=993
665|6107|DMITRY KAMENSHCHIK|3.5|0.0|Service |airport|50|Unknown|https://specials-images.forbesimg.com/imageserve/5a80a27ba7ea431690133adf/416x416.jpg?background=000000&cropX1=674&cropX2=3343&cropY1=0&cropY2=2667
666|6523|DOUGLAS LEONE|3.5|0.0|Finance and Investments |venture capital|60|Male|https://specials-images.forbesimg.com/imageserve/59dbe96a31358e542c0382f6/416x416.jpg?background=000000&cropX1=227&cropX2=3304&cropY1=600&cropY2=3678
667|5572|EDWIN LEONG|3.5|0.0|Real Estate |real estate|66|Male|https://specials-images.forbesimg.com/imageserve/5a7e697a4bbe6f2652f52a5c/416x416.jpg?background=000000&cropX1=697&cropX2=3366&cropY1=0&cropY2=2667
668|4160|ARNON MILCHAN|3.5|0.0|Media & Entertainment |movie making|73|Male|https://specials-images.forbesimg.com/imageserve/5a7f7a8f31358e4955ad1d1a/416x416.jpg?background=000000&cropX1=121&cropX2=855&cropY1=4&cropY2=738
669|9122|MAREN OTTO|3.5|0.0|Diversified |retail, real estate|999|Female|https://specials-images.forbesimg.com/imageserve/5a7e2cd1a7ea431690132368/416x416.jpg?background=000000&cropX1=334&cropX2=1593&cropY1=572&cropY2=1832
670|5079|ANTHONY PRITZKER|3.5|0.0|Service |hotels, investments|57|Unknown|https://specials-images.forbesimg.com/imageserve/d7f2d1d54a71e885322e1318b12e4baf/416x416.jpg?background=000000&cropX1=64&cropX2=644&cropY1=105&cropY2=685
671|7171|JAY ROBERT (J.B.) PRITZKER|3.5|0.0|Finance and Investments |hotels, investments|53|Male|https://specials-images.forbesimg.com/imageserve/59dbdd1e31358e542c0381c2/416x416.jpg?background=000000&cropX1=263&cropX2=880&cropY1=174&cropY2=791
672|3768|MITCHELL RALES|3.5|0.001|Manufacturing |manufacturing, investments|61|Male|https://specials-images.forbesimg.com/imageserve/3583fac6b4a087511b3779870cca97f2/416x416.jpg?background=000000&cropX1=116&cropX2=744&cropY1=147&cropY2=775
673|1590|KJELL INGE ROKKE|3.5|0.0|Logistics |shipping, seafood|59|Male|https://specials-images.forbesimg.com/imageserve/58a244daa7ea431f32197300/416x416.jpg?background=000000&cropX1=167&cropX2=573&cropY1=55&cropY2=461
674|9120|BERNARD SAUL, II.|3.5|-0.001|Finance and Investments |banking, real estate|86|Male|https:http://specials-images.forbesimg.com/imageserve/e2b0e387987c0fa0aef2253b5912e328/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
675|7486|DONALD STERLING|3.5|0.0|Real Estate |real estate|84|Unknown|https://specials-images.forbesimg.com/imageserve/59dbdbf231358e542c038181/416x416.jpg?background=000000&cropX1=690&cropX2=1525&cropY1=459&cropY2=1295
676|9852|TAHIR|3.5|0.0|Diversified |diversified|66|Male|https://specials-images.forbesimg.com/imageserve/5a19af6da7ea432f2e7401c7/416x416.jpg?background=000000&cropX1=122&cropX2=1814&cropY1=3&cropY2=1694
677|4824|CHAIRUL TANJUNG|3.5|-0.001|Diversified |diversified|56|Unknown|https://specials-images.forbesimg.com/imageserve/5a19af124bbe6f37e6586283/416x416.jpg?background=000000&cropX1=834&cropX2=3445&cropY1=0&cropY2=2614
678|4774|CLEMENS TOENNIES|3.5|0.0|Food and Beverage |meat processing|62|Unknown|https://specials-images.forbesimg.com/imageserve/5a7e0ea631358e4955ad0e48/416x416.jpg?background=000000&cropX1=1543&cropX2=4803&cropY1=14&cropY2=3272
679|3917|SOMPHOTE AHUNAI|3.4|0.0|Energy |energy|51|Unknown|https://specials-images.forbesimg.com/imageserve/921717a472f456933b27aa6242dc34c2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775
680|2159|IGOR ALTUSHKIN|3.4|0.0|Metals & Mining |metals|47|Male|https://specials-images.forbesimg.com/imageserve/5a80a82031358e4955ad2b29/416x416.jpg?background=000000&cropX1=891&cropX2=4144&cropY1=461&cropY2=3712
681|6618|RILEY BECHTEL|3.4|0.0|Construction & Engineering |engineering, construction|66|Male|https://specials-images.forbesimg.com/imageserve/57e0790c31358e16c589ba0f/416x416.jpg?background=000000&cropX1=176&cropX2=614&cropY1=119&cropY2=557
682|4303|STEPHEN BECHTEL, JR.|3.4|0.0|Construction & Engineering |engineering, construction|93|Male|https:http://specials-images.forbesimg.com/imageserve/57f2a847a7ea435a1e1f60fd/416x416.jpg?background=000000&cropX1=29&cropX2=734&cropY1=52&cropY2=758
683|3506|MIKE CANNON-BROOKES|3.4|0.0|Technology |software|38|Unknown|https://specials-images.forbesimg.com/imageserve/5a99b8d44bbe6f0fa8272c63/416x416.jpg?background=000000&cropX1=2566&cropX2=3589&cropY1=285&cropY2=1307
684|1520|RAFAEL DEL PINO Y CALVO-SOTELO|3.4|0.0|Construction & Engineering |construction|59|Unknown|https://specials-images.forbesimg.com/imageserve/910e6d8352e21187ae4e0c51f41eb089/416x416.jpg?background=000000&cropX1=394&cropX2=2592&cropY1=167&cropY2=2366
685|1958|ANTONIO DEL VALLE RUIZ|3.4|0.0|Manufacturing |chemicals|79|Male|https://specials-images.forbesimg.com/imageserve/5a7fca614bbe6f2652f53674/416x416.jpg?background=000000&cropX1=364&cropX2=2631&cropY1=4&cropY2=2272
686|4547|SCOTT FARQUHAR|3.4|0.0|Technology |software|38|Male|https://specials-images.forbesimg.com/imageserve/5a99b8d44bbe6f0fa8272c63/416x416.jpg?background=000000&cropX1=1343&cropX2=2509&cropY1=257&cropY2=1421
687|6443|LINDSAY FOX|3.4|0.0|Logistics |logistics, real estate|81|Male|https://specials-images.forbesimg.com/imageserve/59f743e531358e542c046cc8/416x416.jpg?background=000000&cropX1=146&cropX2=1197&cropY1=3&cropY2=1055
688|1116|JIMMY HASLAM|3.4|0.0|Fashion & Retail |gas stations, retail|64|Unknown|https://specials-images.forbesimg.com/imageserve/5a8dd9654bbe6f2652f627b6/416x416.jpg?background=000000&cropX1=51&cropX2=2700&cropY1=108&cropY2=2757
689|8638|HEIDI HORTEN|3.4|0.0|Fashion & Retail |retail|77|Female|https://specials-images.forbesimg.com/imageserve/56c60525e4b062f6b59a0b1e/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
690|6574|MIN KAO|3.4|0.0|Technology |navigation equipment|69|Male|https://specials-images.forbesimg.com/imageserve/2fa78ea6d7b94752e196e514f98f2b32/416x416.jpg?background=000000&cropX1=215&cropX2=478&cropY1=121&cropY2=384
691|6221|MELISSA MA|3.4|0.0|Technology |internet search|48|Female|https://specials-images.forbesimg.com/imageserve/2fa78ea6d7b94752e196e514f98f2b32/416x416.jpg?background=000000&cropX1=215&cropX2=478&cropY1=121&cropY2=384
692|4691|RUDOLF MAAG|3.4|0.001|Healthcare |medical devices|72|Unknown|https://specials-images.forbesimg.com/imageserve/2fa78ea6d7b94752e196e514f98f2b32/416x416.jpg?background=000000&cropX1=215&cropX2=478&cropY1=121&cropY2=384
693|4426|ALEXANDER PONOMARENKO|3.4|0.0|Logistics |real estate, airport|53|Male|https://specials-images.forbesimg.com/imageserve/7d960a12106161ba41d33763044465e8/416x416.jpg?background=000000&cropX1=37&cropX2=739&cropY1=214&cropY2=917
694|7116|CARLOS RODRIGUEZ-PASTOR|3.4|0.0|Finance and Investments |finance|59|Unknown|https://specials-images.forbesimg.com/imageserve/5a7fda0131358e4955ad22ba/416x416.jpg?background=000000&cropX1=99&cropX2=1496&cropY1=290&cropY2=1688
695|8914|SHASHI & RAVI RUIA|3.4|0.0|Diversified |diversified|999|Male|https://specials-images.forbesimg.com/imageserve/5a7fda0131358e4955ad22ba/416x416.jpg?background=000000&cropX1=99&cropX2=1496&cropY1=290&cropY2=1688
696|5423|TEDDY SAGI|3.4|3.9589999999999996|Gambling & Casinos |gambling software|46|Male|https://specials-images.forbesimg.com/imageserve/58a2357231358e1a35ab4fc2/416x416.jpg?background=000000&cropX1=81&cropX2=566&cropY1=77&cropY2=562
697|2868|SHAUL SHANI|3.4|0.0|Telecom |telecom|63|Unknown|https://specials-images.forbesimg.com/imageserve/58a2357231358e1a35ab4fc2/416x416.jpg?background=000000&cropX1=81&cropX2=566&cropY1=77&cropY2=562
698|5042|ALEXANDER SKOROBOGATKO|3.4|0.0|Logistics |real estate, airport|50|Male|https://specials-images.forbesimg.com/imageserve/5a808ae2a7ea431690133990/416x416.jpg?background=000000&cropX1=155&cropX2=1287&cropY1=32&cropY2=1164
699|2030|SUN GUANGXIN|3.4|-0.001|Diversified |diversified|55|Male|https://specials-images.forbesimg.com/imageserve/6ac3c6fe0ad3a3524d1782dc8352606d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
700|1190|RITA TONG LIU|3.4|0.0|Real Estate |real estate|69|Female|https://specials-images.forbesimg.com/imageserve/5877c2664bbe6f1f20eaced8/416x416.jpg?background=000000&cropX1=68&cropX2=667&cropY1=343&cropY2=942
701|8108|JUAN-MIGUEL VILLAR MIR|3.4|0.0|Construction & Engineering |construction|86|Male|https://specials-images.forbesimg.com/imageserve/5a81131e31358e4955ad304e/416x416.jpg?background=000000&cropX1=424&cropX2=1874&cropY1=0&cropY2=1449
702|9959|STEVE WYNN|3.4|0.0|Gambling & Casinos |casinos, hotels|76|Male|https://specials-images.forbesimg.com/imageserve/59dbef824bbe6f37dda038b6/416x416.jpg?background=000000&cropX1=800&cropX2=3166&cropY1=120&cropY2=2487
703|2957|ANIL AGARWAL|3.3|0.001|Metals & Mining |mining, metals|64|Male|https://specials-images.forbesimg.com/imageserve/5a7f094931358e4955ad1774/416x416.jpg?background=000000&cropX1=1189&cropX2=3858&cropY1=0&cropY2=2667
704|9441|ABDULLA AL FUTTAIM|3.3|0.0|Automotive |auto dealers, investments|999|Male|https://specials-images.forbesimg.com/imageserve/5a814fe9a7ea431690134265/416x416.jpg?background=000000&cropX1=0&cropX2=1832&cropY1=7&cropY2=1840
705|8287|JOHN ARNOLD|3.3|0.0|Finance and Investments |hedge funds|44|Male|https://specials-images.forbesimg.com/imageserve/a3017e8a0ede213af3e6fa3ec077eeb1/416x416.jpg?background=000000&cropX1=47&cropX2=686&cropY1=44&cropY2=684
706|9893|SID BASS|3.3|0.0|Energy |oil, investments|76|Male|https://specials-images.forbesimg.com/imageserve/480c54a2945f8faefb9d7ecc7c558370/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=84&cropY2=827
707|4649|ALAIN BOUCHARD|3.3|-0.16|Fashion & Retail |retail|69|Unknown|https://specials-images.forbesimg.com/imageserve/c07db9e47d266d4355f90e11bb8f4def/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=8&cropY2=749
708|3470|JOHN BROWN|3.3|0.0|Healthcare |medical equipment|83|Male|https:http://specials-images.forbesimg.com/imageserve/560295b6e4b0ffa7afe4f667/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823
709|2152|VANICH CHAIYAWAN|3.3|0.0|Finance and Investments |insurance, beverages|86|Male|https://specials-images.forbesimg.com/imageserve/59270c79a7ea434078d46651/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=98&cropY2=842
710|1851|CHEN LIP KEONG|3.3|0.0|Gambling & Casinos |casinos, property, energy|70|Male|https://specials-images.forbesimg.com/imageserve/58b5dcf9a7ea431f321a57a7/416x416.jpg?background=000000&cropX1=55&cropX2=633&cropY1=160&cropY2=739
711|1858|CHARLES COHEN|3.3|0.0|Real Estate |real estate|66|Male|https://specials-images.forbesimg.com/imageserve/59dbe4314bbe6f37dda036ef/416x416.jpg?background=000000&cropX1=4&cropX2=1997&cropY1=103&cropY2=2096
712|3839|ASHWIN DANI|3.3|0.0|Manufacturing |paints|75|Unknown|https://specials-images.forbesimg.com/imageserve/c01e374c2f9f59b8ef40099b563fc188/416x416.jpg?background=000000&cropX1=238&cropX2=660&cropY1=174&cropY2=596
713|5485|RAKESH GANGWAL|3.3|0.0|Service |airline|64|Unknown|https:http://specials-images.forbesimg.com/imageserve/55f78579e4b0ffa7afe49489/416x416.jpg?background=000000&cropX1=90&cropX2=609&cropY1=53&cropY2=572
714|1306|REID HOFFMAN|3.3|0.0|Technology |LinkedIn|50|Male|https://specials-images.forbesimg.com/imageserve/59dbe8d54bbe6f37dda037b9/416x416.jpg?background=000000&cropX1=1420&cropX2=3289&cropY1=104&cropY2=1972
715|6613|AMOS HOSTETTER, JR.|3.3|0.0|Media & Entertainment |cable television|81|Male|https://specials-images.forbesimg.com/imageserve/5a82140aa7ea4316901357de/416x416.jpg?background=000000&cropX1=0&cropX2=1205&cropY1=546&cropY2=1752
716|4873|ZARAKH ILIEV|3.3|0.0|Real Estate |real estate|51|Male|https://specials-images.forbesimg.com/imageserve/da062126c7f684fe3c4cac435fbe622f/416x416.jpg?background=000000&cropX1=84&cropX2=741&cropY1=11&cropY2=668
717|4098|JI QI|3.3|0.0|Real Estate |hotels, motels|51|Male|https://specials-images.forbesimg.com/imageserve/5a7ce58d4bbe6f2652f50fbb/416x416.jpg?background=000000&cropX1=666&cropX2=3004&cropY1=0&cropY2=2336
718|4095|KENNETH LANGONE|3.3|0.001|Finance and Investments |investments|82|Male|https://specials-images.forbesimg.com/imageserve/5a8dda1531358e4955adfc13/416x416.jpg?background=000000&cropX1=1037&cropX2=2430&cropY1=133&cropY2=1525
719|4020|LI SZE LIM|3.3|0.0|Real Estate |real estate|61|Unknown|https://specials-images.forbesimg.com/imageserve/5a7e6ee9a7ea43169013254f/416x416.jpg?background=000000&cropX1=222&cropX2=1295&cropY1=2&cropY2=1075
720|8941|GEORGE LINDEMANN|3.3|-0.001|Finance and Investments |investments|82|Male|https:http://specials-images.forbesimg.com/imageserve/67c70c6aef6863d196e8a34b8300eeaa/416x416.jpg?background=000000&cropX1=69&cropX2=705&cropY1=39&cropY2=676
721|6724|LIU ZHONGTIAN|3.3|0.0|Manufacturing |aluminum products|54|Male|https://specials-images.forbesimg.com/imageserve/589d28c431358e1a35ab0bb8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=185&cropY2=929
722|9011|LUO LIGUO|3.3|0.0|Manufacturing |chemicals|62|Male|https://specials-images.forbesimg.com/imageserve/589d28c431358e1a35ab0bb8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=185&cropY2=929
723|7914|MARY ALICE DORRANCE MALONE|3.3|0.0|Food and Beverage |Campbell Soup|68|Female|https://specials-images.forbesimg.com/imageserve/589d28c431358e1a35ab0bb8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=185&cropY2=929
724|9053|HENRY NICHOLAS, III.|3.3|0.0|Technology |semiconductors|58|Male|https://specials-images.forbesimg.com/imageserve/59dbe6c5a7ea436b47b39f23/416x416.jpg?background=000000&cropX1=201&cropX2=1139&cropY1=59&cropY2=997
725|9182|GOD NISANOV|3.3|0.0|Real Estate |real estate|46|Male|https://specials-images.forbesimg.com/imageserve/56cbe5dbe4b062f6b59a4bff/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=2&cropY2=745
726|4993|PAT STRYKER|3.3|-0.409|Healthcare |medical equipment|62|Unknown|https:http://specials-images.forbesimg.com/imageserve/aba94df76c2e1ac2ae94fa21e2d7214e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=148&cropY2=892
727|4574|ALEXANDER SVETAKOV|3.3|0.0|Finance and Investments |real estate|50|Unknown|https://specials-images.forbesimg.com/imageserve/58cb16b14bbe6f0e5588c395/416x416.jpg?background=000000&cropX1=114&cropX2=700&cropY1=42&cropY2=629
728|2328|HANS PETER WILD|3.3|0.0|Food and Beverage |flavorings|77|Unknown|https://specials-images.forbesimg.com/imageserve/5a81263831358e4955ad3113/416x416.jpg?background=000000&cropX1=220&cropX2=1144&cropY1=46&cropY2=970
729|4102|YVONNE BAUER|3.2|0.0|Media & Entertainment |media|41|Unknown|https://specials-images.forbesimg.com/imageserve/5a7e617731358e4955ad143f/416x416.jpg?background=000000&cropX1=197&cropX2=2860&cropY1=428&cropY2=3092
730|7503|PATRIZIO BERTELLI|3.2|0.0|Fashion & Retail |luxury goods|72|Male|https://specials-images.forbesimg.com/imageserve/5a7f9d4931358e4955ad1e94/416x416.jpg?background=000000&cropX1=23&cropX2=1301&cropY1=294&cropY2=1571
731|7945|NEIL BLUHM|3.2|0.0|Real Estate |real estate|80|Male|https://specials-images.forbesimg.com/imageserve/59dbe3c431358e542c038278/416x416.jpg?background=000000&cropX1=262&cropX2=1248&cropY1=413&cropY2=1399
732|7708|ANDREW & PEGGY CHERNG|3.2|0.0|Food and Beverage |restaurants|999|Unknown|https://specials-images.forbesimg.com/imageserve/57d80a5a4bbe6f6781c4e59f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829
733|7375|SCOTT COOK|3.2|-0.001|Technology |software|65|Male|https://specials-images.forbesimg.com/imageserve/59dd1e83a7ea436b47b3ab4a/416x416.jpg?background=000000&cropX1=321&cropX2=2641&cropY1=68&cropY2=2387
734|7366|LEON G. COOPERMAN|3.2|0.0|Finance and Investments |hedge funds|75|Male|https://specials-images.forbesimg.com/imageserve/59dbebf94bbe6f37dda03841/416x416.jpg?background=000000&cropX1=171&cropX2=3204&cropY1=414&cropY2=3450
735|2631|JOHN PAUL DEJORIA|3.2|0.0|Fashion & Retail |hair products, tequila|74|Male|https://specials-images.forbesimg.com/imageserve/5a8dd9c0a7ea431690140c0b/416x416.jpg?background=000000&cropX1=1344&cropX2=3427&cropY1=257&cropY2=2338
736|6444|MARTIN EBNER|3.2|-0.001|Finance and Investments |investments|72|Male|https://specials-images.forbesimg.com/imageserve/5a81291f31358e4955ad3149/416x416.jpg?background=000000&cropX1=115&cropX2=643&cropY1=151&cropY2=679
737|8746|WALTER FARIA|3.2|0.0|Food and Beverage |beer|63|Male|https://specials-images.forbesimg.com/imageserve/10fc1ca728df0a0e674a33af53a9c6ed/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=93&cropY2=836
738|3371|SAMEER GEHLAUT|3.2|0.0|Finance and Investments |finance|44|Male|https://specials-images.forbesimg.com/imageserve/58fe039131358e58f07ab1d7/416x416.jpg?background=000000&cropX1=89&cropX2=979&cropY1=123&cropY2=1012
739|1374|TOM GOLISANO|3.2|-4.504|Service |payroll services|76|Unknown|https://specials-images.forbesimg.com/imageserve/59dd1f1731358e542c038f17/416x416.jpg?background=000000&cropX1=2203&cropX2=4350&cropY1=273&cropY2=2419
740|1819|OTTO HAPPEL|3.2|0.0|Construction & Engineering |engineering|70|Male|https://specials-images.forbesimg.com/imageserve/58a1e24031358e1a35ab441e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=288&cropY2=1032
741|8633|JIANG BIN|3.2|0.0|Technology |acoustic components|51|Male|https:http://specials-images.forbesimg.com/imageserve/33882d7aaf458263cb07411d98863327/416x416.jpg?background=000000&cropX1=151&cropX2=644&cropY1=37&cropY2=530
742|3309|KAREL KOMAREK|3.2|0.0|Gambling & Casinos |lotteries|49|Male|https://specials-images.forbesimg.com/imageserve/589f4695a7ea431f32194a01/416x416.jpg?background=000000&cropX1=3&cropX2=736&cropY1=124&cropY2=857
743|6178|KURT KRIEGER|3.2|0.0|Fashion & Retail |furniture retailing|70|Unknown|https://specials-images.forbesimg.com/imageserve/5a7e293b4bbe6f2652f52750/416x416.jpg?background=000000&cropX1=1554&cropX2=5280&cropY1=16&cropY2=3739
744|9408|TIMUR KULIBAEV|3.2|1.315|Finance and Investments |banking|51|Male|https://specials-images.forbesimg.com/imageserve/5a7fbdf3a7ea4316901330b1/416x416.jpg?background=000000&cropX1=844&cropX2=3986&cropY1=14&cropY2=3153
745|7623|DINARA KULIBAEVA|3.2|1.315|Finance and Investments |banking|50|Unknown|https://specials-images.forbesimg.com/imageserve/eb6364da2072d135d0c42047212efdb5/416x416.jpg?background=000000&cropX1=187&cropX2=675&cropY1=13&cropY2=501
746|5412|SPIRO LATSIS|3.2|0.0|Diversified |banking, shipping|71|Male|https://specials-images.forbesimg.com/imageserve/56ca07f8e4b062f6b59a2de6/416x416.jpg?background=000000&cropX1=2&cropX2=703&cropY1=35&cropY2=736
747|6261|DANIEL LOEB|3.2|0.0|Finance and Investments |hedge funds|56|Unknown|https://specials-images.forbesimg.com/imageserve/5a8dd8a731358e4955adfbd7/416x416.jpg?background=000000&cropX1=1280&cropX2=3474&cropY1=211&cropY2=2404
748|6893|LUO JYE|3.2|0.0|Automotive |tires|92|Unknown|https://specials-images.forbesimg.com/imageserve/043eb84050f11011246539da336bf921/416x416.jpg?background=000000&cropX1=85&cropX2=699&cropY1=0&cropY2=614
749|3662|RONALD MCAULAY|3.2|0.0|Energy |energy|82|Male|https://specials-images.forbesimg.com/imageserve/043eb84050f11011246539da336bf921/416x416.jpg?background=000000&cropX1=85&cropX2=699&cropY1=0&cropY2=614
750|6120|ALAIN MERIEUX|3.2|-0.001|Healthcare |pharmaceuticals|80|Unknown|https://specials-images.forbesimg.com/imageserve/5a7de45ba7ea431690131a9d/416x416.jpg?background=000000&cropX1=12&cropX2=2742&cropY1=23&cropY2=2755
751|3128|HANS GEORG NAEDER|3.2|0.0|Manufacturing |prosthetics|56|Male|https://specials-images.forbesimg.com/imageserve/5a7e157331358e4955ad1033/416x416.jpg?background=000000&cropX1=916&cropX2=2590&cropY1=632&cropY2=2305
752|1710|NIE TENGYUN|3.2|0.0|Service |logistics|42|Male|https://specials-images.forbesimg.com/imageserve/5a7ce38031358e4955acfbae/416x416.jpg?background=000000&cropX1=512&cropX2=1610&cropY1=401&cropY2=1499
753|1511|DANIEL OCH|3.2|0.0|Finance and Investments |hedge funds|57|Male|https://specials-images.forbesimg.com/imageserve/5a8daa3031358e4955adf53f/416x416.jpg?background=000000&cropX1=725&cropX2=3000&cropY1=137&cropY2=2412
754|5172|MIUCCIA PRADA|3.2|0.0|Fashion & Retail |luxury goods|69|Female|https://specials-images.forbesimg.com/imageserve/5a7f9ba931358e4955ad1e77/416x416.jpg?background=000000&cropX1=328&cropX2=2606&cropY1=754&cropY2=3034
755|5315|MARC ROWAN|3.2|0.0|Finance and Investments |private equity|55|Unknown|https://specials-images.forbesimg.com/imageserve/57e17e094bbe6f6781c52ddb/416x416.jpg?background=000000&cropX1=151&cropX2=744&cropY1=124&cropY2=717
756|5361|HAIM SABAN|3.2|2.0069999999999997|Media & Entertainment |TV network, investments|73|Male|https://specials-images.forbesimg.com/imageserve/5a8dd8ef31358e4955adfbf6/416x416.jpg?background=000000&cropX1=1081&cropX2=1994&cropY1=174&cropY2=1086
